"IDCREDITO","Duracao","HistoricoCredito","Proposito","Valor","Investimentos","Emprego","TempoParcelamento","EstadoCivil","FiadorTerceiros","ResidenciaDesde","Idade","OutrosFinanciamentos","Habitacao","EmprestimoExistente","Profissao","Dependentes","SocioEmpresa","Status","proposta","financiamentos","profissao","emprego","histcredito","fiador","residencia","estadocivil","investimentos"
131,48,2,4,8487,1,4,1,1,3,2,24,3,1,1,4,1,0,1,"veiculo novo","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Solteiro","Desconhecido\\n"
132,36,3,2,6887,2,3,4,4,3,3,29,2,1,1,4,1,1,0,"educacao","loja","qualificado","1<=X<4","Atrasos anteriores","nao","proria","Viuvo","<100\\n"
133,15,2,3,2708,2,1,2,4,3,3,27,1,1,2,3,1,0,1,"moveis","banco","nao qualificado","<1","existentes/pagos","nao","proria","Viuvo","<100\\n"
134,18,2,3,1984,2,3,4,4,3,4,47,1,2,2,4,1,0,1,"moveis","banco","qualificado","1<=X<4","existentes/pagos","nao","de graca","Viuvo","<100\\n"
135,60,2,1,10144,5,4,2,1,3,4,21,3,1,1,4,1,1,1,"reforma","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Solteiro","100<=X<500"
136,12,1,1,1240,1,2,4,1,3,2,38,3,1,2,4,1,1,1,"reforma","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Solteiro","Desconhecido\\n"
137,27,3,5,8613,4,3,2,4,3,2,27,3,1,2,4,1,0,1,"veiculo usado","nenhum","qualificado","1<=X<4","Atrasos anteriores","nao","proria","Viuvo",">=1000"
138,12,2,1,766,3,3,4,4,3,3,66,3,1,1,3,1,0,0,"reforma","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","500<=X<1000"
139,15,1,1,2728,1,4,4,4,4,2,35,1,1,3,4,1,1,1,"reforma","banco","qualificado","4<=X<7","Critico-outros creditos","sim","proria","Viuvo","Desconhecido\\n"
140,12,2,1,1881,2,3,2,1,3,2,44,3,3,1,3,1,1,1,"reforma","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","alugada","Solteiro","<100\\n"
141,6,2,4,709,4,1,2,3,3,2,27,3,1,1,2,1,0,1,"veiculo novo","nenhum","desempregado","<1","existentes/pagos","nao","proria","Divorciado",">=1000"
142,36,2,1,4795,2,1,4,1,3,1,30,3,1,1,1,1,1,1,"reforma","nenhum","altamente qualificado/empresario","<1","existentes/pagos","nao","proria","Solteiro","<100\\n"
143,27,2,1,3416,2,3,3,4,3,2,27,3,1,1,1,1,0,1,"reforma","nenhum","altamente qualificado/empresario","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
86,12,1,6,1412,2,3,4,1,4,2,29,3,1,2,1,1,1,1,"abrir negocio","nenhum","altamente qualificado/empresario","1<=X<4","Critico-outros creditos","sim","proria","Solteiro","<100\\n"
144,18,2,3,2462,2,3,2,4,3,2,22,3,1,1,4,1,0,0,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
146,48,5,6,3566,5,4,4,4,3,2,30,3,1,1,4,1,0,1,"abrir negocio","nenhum","qualificado","4<=X<7","todos pagos","nao","proria","Viuvo","100<=X<500"
147,6,1,4,860,2,2,1,1,3,4,39,3,1,2,4,1,1,1,"veiculo novo","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
148,12,1,4,682,5,4,4,1,3,3,51,3,1,2,4,1,1,1,"veiculo novo","nenhum","qualificado","4<=X<7","Critico-outros creditos","nao","proria","Solteiro","100<=X<500"
149,36,1,3,5371,2,3,3,4,4,2,28,3,1,2,4,1,0,1,"moveis","nenhum","qualificado","1<=X<4","Critico-outros creditos","sim","proria","Viuvo","<100\\n"
150,18,1,1,1582,4,2,4,4,3,4,46,3,1,2,4,1,0,1,"reforma","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo",">=1000"
151,6,2,1,1346,5,2,2,4,3,4,42,1,2,1,4,2,1,1,"reforma","banco","qualificado",">=7","existentes/pagos","nao","de graca","Viuvo","100<=X<500"
152,10,2,1,1924,2,3,1,4,3,4,38,3,1,1,4,1,1,1,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
153,36,2,1,5848,2,3,4,4,3,1,24,3,1,1,4,1,0,1,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
154,24,1,5,7758,4,2,2,1,3,4,29,3,3,1,4,1,0,1,"veiculo usado","nenhum","qualificado",">=7","Critico-outros creditos","nao","alugada","Solteiro",">=1000"
155,24,3,6,6967,5,4,4,4,3,4,36,3,3,1,1,1,1,1,"abrir negocio","nenhum","altamente qualificado/empresario","4<=X<7","Atrasos anteriores","nao","alugada","Viuvo","100<=X<500"
156,12,2,3,1282,2,3,2,1,3,4,20,3,3,1,4,1,0,0,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","alugada","Solteiro","<100\\n"
198,12,2,3,951,5,1,4,1,3,4,27,1,3,4,4,1,0,0,"moveis","banco","qualificado","<1","existentes/pagos","nao","alugada","Solteiro","100<=X<500"
157,9,1,8,1288,5,2,3,4,4,4,48,3,1,2,4,2,0,1,"reforma casa","nenhum","qualificado",">=7","Critico-outros creditos","sim","proria","Viuvo","100<=X<500"
158,12,5,10,339,2,2,4,3,3,1,45,1,1,1,3,1,0,1,"qualificacao","banco","nao qualificado",">=7","todos pagos","nao","proria","Divorciado","<100\\n"
159,24,2,4,3512,5,4,2,4,3,3,38,1,1,2,4,1,1,1,"veiculo novo","banco","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","100<=X<500"
160,6,1,1,1898,1,3,1,4,3,2,34,3,1,2,3,2,0,1,"reforma","nenhum","nao qualificado","1<=X<4","Critico-outros creditos","nao","proria","Viuvo","Desconhecido\\n"
161,24,1,1,2872,5,2,3,4,3,4,36,3,1,1,4,2,1,1,"reforma","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","100<=X<500"
162,18,1,4,1055,2,1,4,1,3,1,30,3,1,2,4,1,0,1,"veiculo novo","nenhum","qualificado","<1","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
163,15,2,7,1262,3,4,4,4,3,3,36,3,1,2,4,1,1,1,"quitar divida","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","500<=X<1000"
164,10,2,4,7308,2,5,2,4,3,4,70,1,2,1,1,1,1,1,"veiculo novo","banco","altamente qualificado/empresario","Desempregado","existentes/pagos","nao","de graca","Viuvo","<100\\n"
165,36,2,4,909,3,2,4,4,3,4,36,3,1,1,4,1,0,1,"veiculo novo","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Viuvo","500<=X<1000"
166,6,2,3,2978,3,3,1,4,3,2,32,3,1,1,4,1,1,1,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","500<=X<1000"
167,18,2,3,1131,2,5,4,1,3,2,33,3,1,1,4,1,0,0,"moveis","nenhum","qualificado","Desempregado","existentes/pagos","nao","proria","Solteiro","<100\\n"
168,11,2,3,1577,4,1,4,1,3,1,20,3,1,1,4,1,0,1,"moveis","nenhum","qualificado","<1","existentes/pagos","nao","proria","Solteiro",">=1000"
170,24,1,6,1935,2,2,4,2,3,4,31,3,1,2,4,1,1,0,"abrir negocio","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Casado","<100\\n"
171,15,4,4,950,2,2,4,4,3,3,33,3,3,2,4,2,0,0,"veiculo novo","nenhum","qualificado",">=7","sem creditos/todos pagos","nao","alugada","Viuvo","<100\\n"
66,27,2,8,5190,1,2,4,4,3,4,48,3,1,4,4,2,1,1,"reforma casa","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
172,12,2,3,763,2,3,4,1,3,1,26,3,1,1,4,1,1,1,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Solteiro","<100\\n"
173,24,3,3,2064,2,5,3,1,3,2,34,3,1,1,1,1,1,0,"moveis","nenhum","altamente qualificado/empresario","Desempregado","Atrasos anteriores","nao","proria","Solteiro","<100\\n"
176,30,5,5,7485,1,5,4,1,3,1,53,1,1,1,1,1,1,0,"veiculo usado","banco","altamente qualificado/empresario","Desempregado","todos pagos","nao","proria","Solteiro","Desconhecido\\n"
178,6,1,1,338,3,2,4,4,3,4,52,3,1,2,4,1,0,1,"reforma","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","500<=X<1000"
179,12,2,1,1963,2,4,4,4,3,2,31,3,3,2,1,2,1,1,"reforma","nenhum","altamente qualificado/empresario","4<=X<7","existentes/pagos","nao","alugada","Viuvo","<100\\n"
180,21,1,4,571,2,2,4,4,3,4,65,3,1,2,4,1,0,1,"veiculo novo","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
181,36,3,6,9572,2,1,1,2,3,1,28,3,1,2,4,1,0,0,"abrir negocio","nenhum","qualificado","<1","Atrasos anteriores","nao","proria","Casado","<100\\n"
182,36,3,6,4455,2,3,2,2,3,2,30,2,1,2,1,1,1,0,"abrir negocio","loja","altamente qualificado/empresario","1<=X<4","Atrasos anteriores","nao","proria","Casado","<100\\n"
183,21,5,4,1647,1,3,4,4,3,2,40,3,1,2,3,2,0,0,"veiculo novo","nenhum","nao qualificado","1<=X<4","todos pagos","nao","proria","Viuvo","Desconhecido\\n"
184,24,1,3,3777,4,3,4,4,3,4,50,3,1,1,4,1,1,1,"moveis","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Viuvo",">=1000"
88,36,2,2,12612,5,3,1,4,3,4,47,3,2,1,4,2,1,0,"educacao","nenhum","qualificado","1<=X<4","existentes/pagos","nao","de graca","Viuvo","100<=X<500"
185,18,1,4,884,2,2,4,4,3,4,36,1,1,1,4,2,1,0,"veiculo novo","banco","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
186,15,1,1,1360,2,3,4,4,3,2,31,3,1,2,4,1,0,1,"reforma","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
187,9,5,5,5129,2,2,2,1,3,4,74,1,2,1,1,2,1,0,"veiculo usado","banco","altamente qualificado/empresario",">=7","todos pagos","nao","de graca","Solteiro","<100\\n"
189,12,2,1,674,5,4,4,3,3,1,20,3,1,1,4,1,0,0,"reforma","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Divorciado","100<=X<500"
191,24,2,6,4591,4,3,2,4,3,3,54,3,1,3,1,1,1,0,"abrir negocio","nenhum","altamente qualificado/empresario","1<=X<4","existentes/pagos","nao","proria","Viuvo",">=1000"
192,48,4,6,3844,5,4,4,4,3,4,34,3,2,1,3,2,0,0,"abrir negocio","nenhum","nao qualificado","4<=X<7","sem creditos/todos pagos","nao","de graca","Viuvo","100<=X<500"
193,27,2,6,3915,2,3,4,4,3,2,36,3,1,1,4,2,1,0,"abrir negocio","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
194,6,2,1,2108,2,4,2,3,3,2,29,3,3,1,4,1,0,1,"reforma","nenhum","qualificado","4<=X<7","existentes/pagos","nao","alugada","Divorciado","<100\\n"
195,45,2,1,3031,5,3,4,4,4,4,21,3,3,1,4,1,0,0,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","sim","alugada","Viuvo","100<=X<500"
196,9,1,2,1501,2,2,2,1,3,3,34,3,1,2,1,1,1,0,"educacao","nenhum","altamente qualificado/empresario",">=7","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
197,6,1,1,1382,2,3,1,1,3,1,28,3,1,2,4,1,1,1,"reforma","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
201,9,1,2,936,3,2,4,4,3,2,52,3,1,2,4,1,1,1,"educacao","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","500<=X<1000"
202,12,2,4,1168,2,3,4,3,3,3,27,3,1,1,3,1,0,1,"veiculo novo","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","proria","Divorciado","<100\\n"
204,12,2,10,902,2,4,4,3,3,4,21,3,3,1,4,1,0,0,"qualificacao","nenhum","qualificado","4<=X<7","existentes/pagos","nao","alugada","Divorciado","<100\\n"
205,12,1,4,1495,2,2,4,4,3,1,38,3,1,2,3,2,0,1,"veiculo novo","nenhum","nao qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
206,30,1,5,10623,2,2,3,4,3,4,38,3,2,3,1,2,1,1,"veiculo usado","nenhum","altamente qualificado/empresario",">=7","Critico-outros creditos","nao","de graca","Viuvo","<100\\n"
207,12,1,3,1935,2,2,4,4,3,4,43,3,1,3,4,1,1,1,"moveis","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
208,12,1,7,1424,2,4,4,4,3,3,26,3,1,1,4,1,0,1,"quitar divida","nenhum","qualificado","4<=X<7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
209,24,2,6,6568,2,3,2,3,3,2,21,2,1,1,3,1,0,1,"abrir negocio","loja","nao qualificado","1<=X<4","existentes/pagos","nao","proria","Divorciado","<100\\n"
210,12,2,5,1413,4,4,3,4,3,2,55,3,1,1,4,1,0,1,"veiculo usado","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo",">=1000"
211,9,1,1,3074,1,3,1,4,3,2,33,3,1,2,4,2,0,1,"reforma","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Viuvo","Desconhecido\\n"
212,36,2,1,3835,1,2,2,1,3,4,45,3,1,1,3,1,1,1,"reforma","nenhum","nao qualificado",">=7","existentes/pagos","nao","proria","Solteiro","Desconhecido\\n"
213,27,4,6,5293,2,5,2,4,3,4,50,2,1,2,4,1,1,0,"abrir negocio","loja","qualificado","Desempregado","sem creditos/todos pagos","nao","proria","Viuvo","<100\\n"
174,8,2,1,1414,2,3,4,4,4,2,33,3,1,1,999,1,0,1,"reforma","nenhum",NULL,"1<=X<4","existentes/pagos","sim","proria","Viuvo","<100\\n"
214,30,3,6,1908,2,2,4,4,3,4,66,3,1,1,1,1,1,0,"abrir negocio","nenhum","altamente qualificado/empresario",">=7","Atrasos anteriores","nao","proria","Viuvo","<100\\n"
215,36,1,1,3342,1,2,4,4,3,2,51,3,1,1,4,1,1,1,"reforma","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","Desconhecido\\n"
216,6,1,10,932,1,4,1,1,3,3,39,3,1,2,3,1,0,1,"qualificacao","nenhum","nao qualificado","4<=X<7","Critico-outros creditos","nao","proria","Solteiro","Desconhecido\\n"
217,18,4,6,3104,2,4,3,4,3,1,31,1,1,1,4,1,1,1,"abrir negocio","banco","qualificado","4<=X<7","sem creditos/todos pagos","nao","proria","Viuvo","<100\\n"
218,36,2,1,3913,2,3,2,4,3,2,23,3,1,1,4,1,1,1,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
219,24,2,3,3021,2,3,2,2,3,2,24,3,3,1,3,1,0,1,"moveis","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","alugada","Casado","<100\\n"
220,10,2,4,1364,2,3,2,1,3,4,64,3,1,1,4,1,1,1,"veiculo novo","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Solteiro","<100\\n"
221,12,2,1,625,2,1,4,3,4,1,26,1,1,1,3,1,0,1,"reforma","banco","nao qualificado","<1","existentes/pagos","sim","proria","Divorciado","<100\\n"
222,12,2,2,1200,1,3,4,1,3,4,23,1,3,1,4,1,1,1,"educacao","banco","qualificado","1<=X<4","existentes/pagos","nao","alugada","Solteiro","Desconhecido\\n"
223,12,2,1,707,2,3,4,4,3,2,30,1,1,2,4,1,0,1,"reforma","banco","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
224,24,3,6,2978,1,3,4,4,3,4,32,3,1,2,4,2,1,1,"abrir negocio","nenhum","qualificado","1<=X<4","Atrasos anteriores","nao","proria","Viuvo","Desconhecido\\n"
225,15,2,5,4657,2,3,3,4,3,2,30,3,1,1,4,1,1,1,"veiculo usado","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
226,36,4,8,2613,2,3,4,4,3,2,27,3,1,2,4,1,0,1,"reforma casa","nenhum","qualificado","1<=X<4","sem creditos/todos pagos","nao","proria","Viuvo","<100\\n"
227,48,2,1,10961,4,4,1,4,2,2,27,1,1,2,4,1,1,0,"reforma","banco","qualificado","4<=X<7","existentes/pagos","co requerente","proria","Viuvo",">=1000"
228,12,2,3,7865,2,2,4,4,3,4,53,3,2,1,1,1,1,0,"moveis","nenhum","altamente qualificado/empresario",">=7","existentes/pagos","nao","de graca","Viuvo","<100\\n"
229,9,2,1,1478,2,4,4,4,3,2,22,3,1,1,4,1,0,0,"reforma","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","<100\\n"
230,24,2,3,3149,2,1,4,4,3,1,22,1,2,1,4,1,0,1,"moveis","banco","qualificado","<1","existentes/pagos","nao","de graca","Viuvo","<100\\n"
231,36,2,1,4210,2,3,4,4,3,2,26,3,1,1,4,1,0,0,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
232,9,2,4,2507,3,2,2,4,3,4,51,3,2,1,3,1,0,1,"veiculo novo","nenhum","nao qualificado",">=7","existentes/pagos","nao","de graca","Viuvo","500<=X<1000"
235,4,1,1,1544,2,4,2,4,3,1,42,3,1,3,3,2,0,1,"reforma","nenhum","nao qualificado","4<=X<7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
169,24,0,3,3972,2,4,2,1,3,4,25,3,3,1,4,1,1,1,"moveis","nenhum","qualificado","4<=X<7",NULL,"nao","alugada","Solteiro","<100\\n"
236,24,2,1,1823,2,5,4,4,3,2,30,2,1,1,1,2,0,0,"reforma","loja","altamente qualificado/empresario","Desempregado","existentes/pagos","nao","proria","Viuvo","<100\\n"
237,6,2,4,14555,1,5,1,4,3,2,23,3,1,1,2,1,1,0,"veiculo novo","nenhum","desempregado","Desempregado","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
238,21,2,6,2767,5,2,4,2,3,2,61,1,3,2,3,1,0,0,"abrir negocio","banco","nao qualificado",">=7","existentes/pagos","nao","alugada","Casado","100<=X<500"
239,12,1,1,1291,2,3,4,1,3,2,35,3,1,2,4,1,0,1,"reforma","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
241,24,2,4,915,1,2,4,1,3,2,29,1,1,1,4,1,0,0,"veiculo novo","banco","qualificado",">=7","existentes/pagos","nao","proria","Solteiro","Desconhecido\\n"
242,6,2,1,1595,2,4,3,4,3,2,51,3,1,1,4,2,0,1,"reforma","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","<100\\n"
243,48,4,5,4605,2,2,3,4,3,4,24,3,2,2,4,2,0,0,"veiculo usado","nenhum","qualificado",">=7","sem creditos/todos pagos","nao","de graca","Viuvo","<100\\n"
244,12,1,6,1185,2,3,3,1,3,2,27,3,1,2,4,1,0,1,"abrir negocio","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
246,24,2,6,1258,2,4,4,4,3,1,25,3,1,1,4,1,1,1,"abrir negocio","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","<100\\n"
247,12,1,1,717,2,2,4,4,3,4,52,3,1,3,4,1,0,1,"reforma","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
248,6,4,4,1204,5,3,4,4,3,1,35,1,3,1,4,1,0,1,"veiculo novo","banco","qualificado","1<=X<4","sem creditos/todos pagos","nao","alugada","Viuvo","100<=X<500"
249,24,2,3,1925,2,3,2,4,3,2,26,3,1,1,4,1,0,1,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
250,18,2,1,433,2,5,3,1,2,4,22,3,3,1,4,1,0,0,"reforma","nenhum","qualificado","Desempregado","existentes/pagos","co requerente","alugada","Solteiro","<100\\n"
251,6,1,4,666,4,4,3,1,3,4,39,3,1,2,3,1,1,1,"veiculo novo","nenhum","nao qualificado","4<=X<7","Critico-outros creditos","nao","proria","Solteiro",">=1000"
252,12,2,3,2251,2,3,1,1,3,2,46,3,1,1,3,1,0,1,"moveis","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","proria","Solteiro","<100\\n"
253,30,2,4,2150,2,3,4,1,4,2,24,1,1,1,4,1,0,0,"veiculo novo","banco","qualificado","1<=X<4","existentes/pagos","sim","proria","Solteiro","<100\\n"
254,24,3,3,4151,5,3,2,4,3,3,35,3,1,2,4,1,0,1,"moveis","nenhum","qualificado","1<=X<4","Atrasos anteriores","nao","proria","Viuvo","100<=X<500"
255,9,2,3,2030,1,4,2,4,3,1,24,3,1,1,4,1,1,1,"moveis","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
256,60,3,1,7418,1,3,1,4,3,1,27,3,1,1,3,1,0,1,"reforma","nenhum","nao qualificado","1<=X<4","Atrasos anteriores","nao","proria","Viuvo","Desconhecido\\n"
257,24,1,1,2684,2,3,4,4,3,2,35,3,1,2,3,1,0,1,"reforma","nenhum","nao qualificado","1<=X<4","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
258,12,5,1,2149,2,3,4,2,3,1,29,3,2,1,4,1,0,0,"reforma","nenhum","qualificado","1<=X<4","todos pagos","nao","de graca","Casado","<100\\n"
259,15,2,5,3812,5,1,1,1,3,4,23,3,1,1,4,1,1,1,"veiculo usado","nenhum","qualificado","<1","existentes/pagos","nao","proria","Solteiro","100<=X<500"
260,11,1,1,1154,5,5,4,1,3,4,57,3,1,3,3,1,0,1,"reforma","nenhum","nao qualificado","Desempregado","Critico-outros creditos","nao","proria","Solteiro","100<=X<500"
261,12,2,3,1657,2,3,2,4,3,2,27,3,1,1,4,1,0,1,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
262,24,2,1,1603,2,2,4,1,3,4,55,3,1,1,4,1,0,1,"reforma","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Solteiro","<100\\n"
